topic,word,weight
-1,la,0.009432517287166632
-1,de,0.009419561182915545
-1,el,0.009346488527258846
-1,que,0.009169935716926267
-1,muy,0.008900229573771205
-1,no,0.008739299917621988
-1,más,0.008587972397723732
-1,comida,0.008265852030047354
-1,un,0.008189828493795326
-1,en,0.008046257581486811
0,nos,0.01861910255209424
0,no,0.016197504429237695
0,que,0.015568735397800943
0,mesa,0.011013054186350171
0,la,0.010775188205264746
0,minutos,0.01008668647625682
0,se,0.009643733709021704
0,en,0.009226928270553153
0,el,0.009196946949468984
0,una,0.009098241432485363
1,san,0.05621227824775794
1,sebastián,0.05373854301185195
1,en,0.015436603530818011
1,de,0.013144175559023539
1,sebastian,0.010306397390220838
1,mejores,0.009891795053880886
1,el,0.009186072483242597
1,los,0.009099427363824518
1,mejor,0.008732545188366215
1,es,0.00851819170356991
2,bar,0.06092385072706922
2,barra,0.02291106635242811
2,pintxos,0.02229977515166209
2,bares,0.020173992118335746
2,de,0.014439940453902289
2,en,0.011762338878309561
2,tapas,0.011288117163780647
2,los,0.010689795787472952
2,un,0.01033303878544651
2,con,0.010044707404752528
3,café,0.07890226327961608
3,desayuno,0.034957289580936586
3,desayunar,0.022823150332612303
3,cafe,0.017810440951467853
3,desayunos,0.01633406114123077
3,leche,0.015903279109212774
3,un,0.014764213576755423
3,cafetería,0.013111985115137267
3,starbucks,0.012536550943148568
3,cafés,0.012099782016343109
4,pizzas,0.06822828834909073
4,pizza,0.06821032348583346
4,masa,0.021651278350755136
4,las,0.016260362881609928
4,pasta,0.012808631465227416
4,buenas,0.012331545531961202
4,la,0.011997279772839708
4,fina,0.010411661827107998
4,pizzería,0.010365231983644084
4,que,0.009678299609467035
5,lugar,0.03291414184043991
5,comer,0.027796470324944728
5,sitio,0.02700718066143619
5,comida,0.02469943548544798
5,buen,0.01905492424950956
5,para,0.018323448196797362
5,ambiente,0.017243643460960856
5,agradable,0.016740538772539244
5,buena,0.014321451289180855
5,un,0.014012794309099528
6,camareros,0.04717390583675063
6,camarero,0.03557094434375469
6,camarera,0.02735063482895838
6,muy,0.018341234121623817
6,los,0.018110002548955107
6,amables,0.014680805113928856
6,atentos,0.012535623678349012
6,todo,0.011441247163645201
6,la,0.011076358189261537
6,el,0.010638511801708318
7,pescado,0.04773724519235417
7,bacalao,0.04556636096040466
7,marisco,0.019661163047379065
7,pescados,0.01649070853041028
7,tortilla,0.015826544473037513
7,mariscos,0.01427076588809943
7,sopa,0.014039189046075292
7,de,0.013598364286039336
7,el,0.013123399152364133
7,salmón,0.011212935068841912
8,caro,0.06156092649806763
8,precio,0.056367527494162045
8,calidad,0.04448440565111859
8,precios,0.025893991622940794
8,poco,0.021870132996302746
8,relación,0.02130356838679768
8,pero,0.02025875368274492
8,bueno,0.019243382091925183
8,buena,0.01558181324200613
8,demasiado,0.015485845053192506
9,hamburguesas,0.09307799710368524
9,hamburguesa,0.057068493933714846
9,las,0.020281721347606016
9,buenas,0.017395383308964847
9,ricas,0.01402781389129619
9,mejores,0.012129054014668997
9,muy,0.011579718912807485
9,más,0.011427053461662161
9,son,0.010942616785939004
